idg,pid,gender,variable,value_3,value_4
1,137.0,F,Attractive,23.25581395348837,22.73
1,138.0,F,Attractive,23.25581395348837,22.73
1,139.0,F,Attractive,23.25581395348837,22.73
1,140.0,F,Attractive,23.25581395348837,22.73
1,141.0,F,Attractive,23.25581395348837,22.73
3,137.0,F,Attractive,17.073170731707318,24.32
3,138.0,F,Attractive,17.073170731707318,24.32
3,139.0,F,Attractive,17.073170731707318,24.32
3,140.0,F,Attractive,17.073170731707318,24.32
3,141.0,F,Attractive,17.073170731707318,24.32
5,137.0,F,Attractive,13.636363636363637,20.51
5,138.0,F,Attractive,13.636363636363637,20.51
5,139.0,F,Attractive,13.636363636363637,20.51
5,140.0,F,Attractive,13.636363636363637,20.51
5,141.0,F,Attractive,13.636363636363637,20.51
7,137.0,F,Attractive,16.3265306122449,18.75
7,138.0,F,Attractive,16.3265306122449,18.75
7,139.0,F,Attractive,16.3265306122449,18.75
7,140.0,F,Attractive,16.3265306122449,18.75
7,141.0,F,Attractive,16.3265306122449,18.75
4,132.0,H,Attractive,20.930232558139537,18.37
4,133.0,H,Attractive,20.930232558139537,18.37
4,134.0,H,Attractive,20.930232558139537,18.37
4,135.0,H,Attractive,20.930232558139537,18.37
4,136.0,H,Attractive,20.930232558139537,18.37
6,132.0,H,Attractive,21.27659574468085,19.61
6,133.0,H,Attractive,21.27659574468085,19.61
6,134.0,H,Attractive,21.27659574468085,19.61
6,135.0,H,Attractive,21.27659574468085,19.61
6,136.0,H,Attractive,21.27659574468085,19.61
9,132.0,H,Attractive,14.893617021276595,15.56
9,133.0,H,Attractive,14.893617021276595,15.56
9,134.0,H,Attractive,14.893617021276595,15.56
9,135.0,H,Attractive,14.893617021276595,15.56
9,136.0,H,Attractive,14.893617021276595,15.56
10,132.0,H,Attractive,21.73913043478261,19.05
10,133.0,H,Attractive,21.73913043478261,19.05
10,134.0,H,Attractive,21.73913043478261,19.05
10,135.0,H,Attractive,21.73913043478261,19.05
10,136.0,H,Attractive,21.73913043478261,19.05
1,158.0,F,Attractive,20.0,19.57
1,159.0,F,Attractive,20.0,19.57
1,160.0,F,Attractive,20.0,19.57
1,161.0,F,Attractive,20.0,19.57
1,162.0,F,Attractive,20.0,19.57
1,163.0,F,Attractive,20.0,19.57
1,164.0,F,Attractive,20.0,19.57
1,165.0,F,Attractive,20.0,19.57
1,166.0,F,Attractive,20.0,19.57
1,167.0,F,Attractive,20.0,19.57
1,168.0,F,Attractive,20.0,19.57
1,169.0,F,Attractive,20.0,19.57
1,170.0,F,Attractive,20.0,19.57
1,171.0,F,Attractive,20.0,19.57
1,172.0,F,Attractive,20.0,19.57
1,173.0,F,Attractive,20.0,19.57
3,158.0,F,Attractive,10.204081632653061,17.86
3,159.0,F,Attractive,10.204081632653061,17.86
3,160.0,F,Attractive,10.204081632653061,17.86
3,161.0,F,Attractive,10.204081632653061,17.86
3,162.0,F,Attractive,10.204081632653061,17.86
3,163.0,F,Attractive,10.204081632653061,17.86
3,164.0,F,Attractive,10.204081632653061,17.86
3,165.0,F,Attractive,10.204081632653061,17.86
3,166.0,F,Attractive,10.204081632653061,17.86
3,167.0,F,Attractive,10.204081632653061,17.86
3,168.0,F,Attractive,10.204081632653061,17.86
3,169.0,F,Attractive,10.204081632653061,17.86
3,170.0,F,Attractive,10.204081632653061,17.86
3,171.0,F,Attractive,10.204081632653061,17.86
3,172.0,F,Attractive,10.204081632653061,17.86
3,173.0,F,Attractive,10.204081632653061,17.86
5,158.0,F,Attractive,19.047619047619047,20.0
5,159.0,F,Attractive,19.047619047619047,20.0
5,160.0,F,Attractive,19.047619047619047,20.0
5,161.0,F,Attractive,19.047619047619047,20.0
5,162.0,F,Attractive,19.047619047619047,20.0
5,163.0,F,Attractive,19.047619047619047,20.0
5,164.0,F,Attractive,19.047619047619047,20.0
5,165.0,F,Attractive,19.047619047619047,20.0
5,166.0,F,Attractive,19.047619047619047,20.0
5,167.0,F,Attractive,19.047619047619047,20.0
5,168.0,F,Attractive,19.047619047619047,20.0
5,169.0,F,Attractive,19.047619047619047,20.0
5,170.0,F,Attractive,19.047619047619047,20.0
5,171.0,F,Attractive,19.047619047619047,20.0
5,172.0,F,Attractive,19.047619047619047,20.0
5,173.0,F,Attractive,19.047619047619047,20.0
7,158.0,F,Attractive,17.307692307692307,22.22
7,159.0,F,Attractive,17.307692307692307,22.22
7,160.0,F,Attractive,17.307692307692307,22.22
7,161.0,F,Attractive,17.307692307692307,22.22
7,162.0,F,Attractive,17.307692307692307,22.22
7,163.0,F,Attractive,17.307692307692307,22.22
7,164.0,F,Attractive,17.307692307692307,22.22
7,165.0,F,Attractive,17.307692307692307,22.22
7,166.0,F,Attractive,17.307692307692307,22.22
7,167.0,F,Attractive,17.307692307692307,22.22
7,168.0,F,Attractive,17.307692307692307,22.22
7,169.0,F,Attractive,17.307692307692307,22.22
7,170.0,F,Attractive,17.307692307692307,22.22
7,171.0,F,Attractive,17.307692307692307,22.22
7,172.0,F,Attractive,17.307692307692307,22.22
7,173.0,F,Attractive,17.307692307692307,22.22
11,158.0,F,Attractive,16.666666666666668,25.0
11,159.0,F,Attractive,16.666666666666668,25.0
11,160.0,F,Attractive,16.666666666666668,25.0
11,161.0,F,Attractive,16.666666666666668,25.0
11,162.0,F,Attractive,16.666666666666668,25.0
11,163.0,F,Attractive,16.666666666666668,25.0
11,164.0,F,Attractive,16.666666666666668,25.0
11,165.0,F,Attractive,16.666666666666668,25.0
11,166.0,F,Attractive,16.666666666666668,25.0
